step,timestamp,price,action,cost,new_position,balance
160,2022-01-07 16:00:00,33340.31424590398,0.36562228202819824,4.875984711249865,0.36562228202819824,9995.12401528875
168,2022-01-08 00:00:00,34538.63063670198,-0.13160359859466553,1.818163232928778,0.2586020231246948,9993.30585205582
186,2022-01-08 18:00:00,37187.3425301598,0.11294436454772949,1.680040308515062,0.4218556880950928,9991.625811747306
200,2022-01-09 08:00:00,40040.90456980054,0.13927066326141357,2.230609334809235,0.34084439277648926,9989.395202412497
221,2022-01-10 05:00:00,36242.03190150881,0.10113418102264404,1.4661232859822528,0.3484935760498047,9987.929079126516
256,2022-01-11 16:00:00,32459.65272569423,0.14404475688934326,1.8702571142340538,0.40231800079345703,9986.05882201228
257,2022-01-11 17:00:00,33857.106825720664,-0.10614025592803955,1.4374407933859865,0.2961777448654175,9984.621381218894
298,2022-01-13 10:00:00,21866.780744327934,-0.12303650379180908,1.0761649007856648,0.18258774280548096,9983.545216318109
300,2022-01-13 12:00:00,22377.940107277136,0.1149059534072876,1.0285434173271437,0.3231678009033203,9982.516672900781
326,2022-01-14 14:00:00,21750.860094369047,-0.1092832088470459,0.9508015145183236,0.24296331405639648,9981.565871386263
361,2022-01-16 01:00:00,21479.617138711626,-0.12025189399719238,1.033185857305851,0.16420221328735352,9980.532685528957
377,2022-01-16 17:00:00,18613.09582841974,-0.10539007186889648,0.7846542028239255,0.1474238634109497,9979.748031326133
382,2022-01-16 22:00:00,14916.871271536696,-0.12139511108398438,0.724334098013477,0.15340876579284668,9979.02369722812
383,2022-01-16 23:00:00,16257.075976410832,0.10910189151763916,0.709471095828957,0.26251065731048584,9978.314226132292
405,2022-01-17 21:00:00,16260.117351291497,0.1922997236251831,1.2507264291065598,0.313309907913208,9977.063499703185
406,2022-01-17 22:00:00,15594.16141897259,-0.11579716205596924,0.7223038547838849,0.19751274585723877,9976.341195848401
416,2022-01-18 08:00:00,19861.000111280933,0.13110458850860596,1.0415472987835457,0.31921660900115967,9975.299648549617
428,2022-01-18 20:00:00,17384.26061076307,0.12136507034301758,0.8439368047546439,0.28401780128479004,9974.455711744862
439,2022-01-19 07:00:00,20246.0129844001,-0.1385570764541626,1.1220913475885974,0.0937659740447998,9973.333620397274
440,2022-01-19 08:00:00,20345.716032413955,0.10347676277160645,0.8421235325218275,0.19724273681640625,9972.491496864752
487,2022-01-21 07:00:00,14212.189042531574,0.15956366062164307,0.907099563629257,0.2876403331756592,9971.584397301123
495,2022-01-21 15:00:00,11693.675793404962,-0.15862596035003662,0.7419682211003354,0.11878621578216553,9970.842429080023
507,2022-01-22 03:00:00,12909.852314434123,-0.10187363624572754,0.5260694394666903,0.12742209434509277,9970.316359640556
510,2022-01-22 06:00:00,12186.791212939681,-0.12268781661987305,0.5980683222071296,0.1775527000427246,9969.718291318348
513,2022-01-22 09:00:00,11611.86316594104,-0.13506662845611572,0.6273500831669657,0.08850419521331787,9969.090941235181
515,2022-01-22 11:00:00,10729.204385490115,0.14040672779083252,0.6025809918262869,0.2547663450241089,9968.488360243355
